Year,Category,Prize Share,Laureate ID,Laureate Type,Full Name,Birth Date,Birth Country,Sex,Organization Country,Disease,Diagnostic
1963,Physics,1/4,79,Individual,Maria Goeppert Mayer,1906-06-28,Germany (Poland),Female,United States of America,no,
1963,Physics,1/4,80,Individual,J. Hans D. Jensen,1907-06-25,Germany,Male,Federal Republic of Germany,no,
1964,Chemistry,1/1,230,Individual,Dorothy Crowfoot Hodgkin,1910-05-12,Egypt,Female,United Kingdom,no,
1964,Medicine,1/2,378,Individual,Konrad Bloch,1912-01-21,Germany (Poland),Male,United States of America,no,
1964,Medicine,1/2,379,Individual,Feodor Lynen,1911-04-06,Germany,Male,Federal Republic of Germany,no,
1964,Physics,1/2,81,Individual,Charles Hard Townes,1915-07-28,United States of America,Male,United States of America,no,
1964,Physics,1/4,82,Individual,Nicolay Gennadiyevich Basov,1922-12-14,Union of Soviet Socialist Republics (Russia),Male,Union of Soviet Socialist Republics,no,
1964,Physics,1/4,83,Individual,Aleksandr Mikhailovich Prokhorov,1916-07-11,Australia,Male,Union of Soviet Socialist Republics,no,
1965,Chemistry,1/1,231,Individual,Robert Burns Woodward,1917-04-10,United States of America,Male,United States of America,no,
1965,Medicine,1/3,380,Individual,François Jacob,1920-06-17,France,Male,France,no,
1965,Medicine,1/3,381,Individual,André Lwoff,1902-05-08,France,Male,France,no,
1965,Medicine,1/3,382,Individual,Jacques Monod,1910-02-09,France,Male,France,no,
1965,Physics,1/3,84,Individual,Sin-Itiro Tomonaga,1906-03-31,Japan,Male,Japan,no,
1965,Physics,1/3,85,Individual,Julian Schwinger,1918-02-12,United States of America,Male,United States of America,yes,Pushed cold fusion as late as 1991
1965,Physics,1/3,86,Individual,Richard P. Feynman,1918-05-11,United States of America,Male,United States of America,no,
1966,Chemistry,1/1,232,Individual,Robert S. Mulliken,1896-06-07,United States of America,Male,United States of America,no,
1966,Medicine,1/2,383,Individual,Peyton Rous,1879-10-05,United States of America,Male,United States of America,no,
1966,Medicine,1/2,384,Individual,Charles Brenton Huggins,1901-09-22,Canada,Male,United States of America,no,
1966,Physics,1/1,87,Individual,Alfred Kastler,1902-05-03,Germany (France),Male,France,yes,Paranormal 
1967,Chemistry,1/2,233,Individual,Manfred Eigen,1927-05-09,Germany,Male,Federal Republic of Germany,no,
1967,Chemistry,1/4,234,Individual,Ronald George Wreyford Norrish,1897-11-09,United Kingdom,Male,United Kingdom,no,
1967,Chemistry,1/4,235,Individual,George Porter,1920-12-06,United Kingdom,Male,United Kingdom,no,
1967,Medicine,1/3,385,Individual,Ragnar Granit,1900-10-30,Russian Empire (Finland),Male,Sweden,no,
1967,Medicine,1/3,386,Individual,Haldan Keffer Hartline,1903-12-22,United States of America,Male,United States of America,no,
1967,Medicine,1/3,387,Individual,George Wald,1906-11-18,United States of America,Male,United States of America,no,
1967,Physics,1/1,88,Individual,Hans Albrecht Bethe,1906-07-02,Germany (France),Male,United States of America,no,
1968,Chemistry,1/1,236,Individual,Lars Onsager,1903-11-27,Norway,Male,United States of America,no,
1968,Medicine,1/3,388,Individual,Robert W. Holley,1922-01-28,United States of America,Male,United States of America,no,
1968,Medicine,1/3,389,Individual,Har Gobind Khorana,1922-01-09,India,Male,United States of America,no,
1968,Medicine,1/3,390,Individual,Marshall W. Nirenberg,1927-04-10,United States of America,Male,United States of America,no,
1968,Physics,1/1,89,Individual,Luis Walter Alvarez,1911-06-13,United States of America,Male,United States of America,no,
1969,Chemistry,1/2,237,Individual,Derek H. R. Barton,1918-09-08,United Kingdom,Male,United Kingdom,no,
1969,Chemistry,1/2,238,Individual,Odd Hassel,1897-05-17,Norway,Male,Norway,no,
1969,Medicine,1/2,678,Individual,Jan Tinbergen,1903-04-12,Netherlands,Male,Netherlands,no,
1969,Medicine,1/3,391,Individual,Max Delbrück,1906-09-04,Germany,Male,United States of America,no,
1969,Medicine,1/3,392,Individual,Alfred D. Hershey,1908-12-04,United States of America,Male,United States of America,no,
1969,Medicine,1/3,393,Individual,Salvador E. Luria,1912-08-13,Italy,Male,United States of America,no,
1969,Physics,1/1,90,Individual,Murray Gell-Mann,1929-09-15,United States of America,Male,United States of America,no,
1970,Chemistry,1/1,239,Individual,Luis F. Leloir,1906-09-06,France,Male,Argentina,no,
1970,Medicine,1/3,394,Individual,Sir Bernard Katz,1911-03-26,Germany,Male,United Kingdom,no,
1970,Medicine,1/3,395,Individual,Ulf von Euler,1905-02-07,Sweden,Male,Sweden,no,
1970,Medicine,1/3,396,Individual,Julius Axelrod,1912-05-30,United States of America,Male,United States of America,no,
1970,Physics,1/2,91,Individual,Hannes Olof Gösta Alfvén,1908-05-30,Sweden,Male,Sweden,yes,Plasma cosmology
1970,Physics,1/2,92,Individual,Louis Eugène Félix Néel,1904-11-22,France,Male,France,no,
1971,Chemistry,1/1,240,Individual,Gerhard Herzberg,1904-12-25,Germany,Male,Canada,no,
1971,Medicine,1/1,397,Individual,"Earl W. Sutherland, Jr.",1915-11-19,United States of America,Male,United States of America,no,
1971,Physics,1/1,93,Individual,Dennis Gabor,1900-06-05,Hungary,Male,United Kingdom,no,
1972,Chemistry,1/2,241,Individual,Christian B. Anfinsen,1916-03-26,United States of America,Male,United States of America,no,
1972,Chemistry,1/4,242,Individual,Stanford Moore,1913-09-04,United States of America,Male,United States of America,no,
1972,Chemistry,1/4,243,Individual,William H. Stein,1911-06-25,United States of America,Male,United States of America,no,
1972,Medicine,1/2,398,Individual,Gerald M. Edelman,1929-07-01,United States of America,Male,United States of America,no,
1972,Medicine,1/2,399,Individual,Rodney R. Porter,1917-10-08,United Kingdom,Male,United Kingdom,no,
1972,Physics,1/3,66,Individual,John Bardeen,1908-05-23,United States of America,Male,United States of America,no,
1972,Physics,1/3,95,Individual,Leon Neil Cooper,1930-02-28,United States of America,Male,United States of America,no,
1972,Physics,1/3,96,Individual,John Robert Schrieffer,1931-05-31,United States of America,Male,United States of America,no,
1973,Chemistry,1/2,244,Individual,Ernst Otto Fischer,1918-11-10,Germany,Male,Federal Republic of Germany,no,
1973,Chemistry,1/2,245,Individual,Geoffrey Wilkinson,1921-07-14,United Kingdom,Male,United Kingdom,no,
1973,Medicine,1/3,400,Individual,Karl von Frisch,1886-11-20,Austria,Male,Federal Republic of Germany,no,
1973,Medicine,1/3,401,Individual,Konrad Lorenz,1903-11-07,Austria,Male,Austria,no,
1973,Medicine,1/3,402,Individual,Nikolaas Tinbergen,1907-04-15,Netherlands,Male,United Kingdom,yes,Crank theories of autism
1973,Physics,1/4,97,Individual,Leo Esaki,1925-03-12,Japan,Male,United States of America,no,
1973,Physics,1/4,98,Individual,Ivar Giaever,1929-04-05,Norway,Male,United States of America,yes,Global warming denial
1973,Physics,1/2,99,Individual,Brian David Josephson,1940-01-04,United Kingdom,Male,United Kingdom,yes,"Psychic and paranormal phenomena, Cold fusion, Water memory and homeopathy"
1974,Chemistry,1/1,246,Individual,Paul J. Flory,1910-06-19,United States of America,Male,United States of America,no,
1974,Medicine,1/3,403,Individual,Albert Claude,1898-08-24,Belgium,Male,Belgium,no,
1974,Medicine,1/3,404,Individual,Christian de Duve,1917-10-02,United Kingdom,Male,United States of America,no,
1974,Medicine,1/3,404,Individual,Christian de Duve,1917-10-02,United Kingdom,Male,Belgium,no,
1974,Medicine,1/3,405,Individual,George E. Palade,1912-11-19,Romania,Male,United States of America,no,
1974,Physics,1/2,100,Individual,Sir Martin Ryle,1918-09-27,United Kingdom,Male,United Kingdom,no,
1974,Physics,1/2,101,Individual,Antony Hewish,1924-05-11,United Kingdom,Male,United Kingdom,no,
1975,Chemistry,1/2,247,Individual,John Warcup Cornforth,1917-09-07,Australia,Male,United Kingdom,no,
1975,Chemistry,1/2,248,Individual,Vladimir Prelog,1906-07-23,Austria-Hungary (Bosnia and Herzegovina),Male,Switzerland,no,
1975,Medicine,1/3,406,Individual,David Baltimore,1938-03-07,United States of America,Male,United States of America,no,
1975,Medicine,1/3,407,Individual,Renato Dulbecco,1914-02-22,Italy,Male,United Kingdom,no,
1975,Medicine,1/3,408,Individual,Howard Martin Temin,1934-12-10,United States of America,Male,United States of America,no,
1975,Physics,1/3,102,Individual,Aage Niels Bohr,1922-06-19,Denmark,Male,Denmark,no,
1975,Physics,1/3,103,Individual,Ben Roy Mottelson,1926-07-09,United States of America,Male,Denmark,no,
1975,Physics,1/3,104,Individual,Leo James Rainwater,1917-12-09,United States of America,Male,United States of America,no,
1976,Chemistry,1/1,249,Individual,William N. Lipscomb,1919-12-09,United States of America,Male,United States of America,no,
1976,Medicine,1/2,409,Individual,Baruch S. Blumberg,1925-07-28,United States of America,Male,United States of America,no,
1976,Medicine,1/2,410,Individual,D. Carleton Gajdusek,1923-09-09,United States of America,Male,United States of America,no,
1976,Physics,1/2,105,Individual,Burton Richter,1931-03-22,United States of America,Male,United States of America,no,
1976,Physics,1/2,106,Individual,Samuel Chao Chung Ting,1936-01-27,United States of America,Male,United States of America,no,
1977,Chemistry,1/1,250,Individual,Ilya Prigogine,1917-01-25,Russia,Male,Belgium,no,
1977,Chemistry,1/1,250,Individual,Ilya Prigogine,1917-01-25,Russia,Male,United States of America,no,
1977,Medicine,1/4,411,Individual,Roger Guillemin,1924-01-11,France,Male,United States of America,no,
1977,Medicine,1/4,412,Individual,Andrew V. Schally,1926-11-30,Poland (Lithuania),Male,United States of America,no,
1977,Medicine,1/2,413,Individual,Rosalyn Yalow,1921-07-19,United States of America,Female,United States of America,no,
1977,Physics,1/3,107,Individual,Philip Warren Anderson,1923-12-13,United States of America,Male,United States of America,no,
1977,Physics,1/3,108,Individual,Sir Nevill Francis Mott,1905-09-30,United Kingdom,Male,United Kingdom,no,
1977,Physics,1/3,109,Individual,John Hasbrouck van Vleck,1899-03-13,United States of America,Male,United States of America,no,
1978,Chemistry,1/1,251,Individual,Peter D. Mitchell,1920-09-29,United Kingdom,Male,United Kingdom,no,
1978,Medicine,1/3,414,Individual,Werner Arber,1929-06-03,Switzerland,Male,Switzerland,no,
1978,Medicine,1/3,415,Individual,Daniel Nathans,1928-10-30,United States of America,Male,United States of America,no,
1978,Medicine,1/3,416,Individual,Hamilton O. Smith,1931-08-23,United States of America,Male,United States of America,no,
1978,Physics,1/2,110,Individual,Pyotr Leonidovich Kapitsa,1894-07-09,Russian Empire (Russia),Male,Union of Soviet Socialist Republics,no,
1978,Physics,1/4,111,Individual,Arno Allan Penzias,1933-04-26,Germany,Male,United States of America,no,
1978,Physics,1/4,112,Individual,Robert Woodrow Wilson,1936-01-10,United States of America,Male,United States of America,no,
1979,Chemistry,1/2,252,Individual,Herbert C. Brown,1912-05-22,United Kingdom,Male,United States of America,no,
1979,Chemistry,1/2,253,Individual,Georg Wittig,1897-06-16,Germany,Male,Federal Republic of Germany,no,
1979,Medicine,1/2,417,Individual,Allan M. Cormack,1924-02-23,South Africa,Male,United States of America,no,
1979,Medicine,1/2,418,Individual,Godfrey N. Hounsfield,1919-08-28,United Kingdom,Male,United Kingdom,no,
1979,Physics,1/3,113,Individual,Sheldon Lee Glashow,1932-12-05,United States of America,Male,United States of America,no,
1979,Physics,1/3,114,Individual,Abdus Salam,1926-01-29,India (Pakistan),Male,Italy,no,
1979,Physics,1/3,114,Individual,Abdus Salam,1926-01-29,India (Pakistan),Male,United Kingdom,no,
1979,Physics,1/3,115,Individual,Steven Weinberg,1933-05-03,United States of America,Male,United States of America,no,
1980,Chemistry,1/4,222,Individual,Frederick Sanger,1918-08-13,United Kingdom,Male,United Kingdom,no,
1980,Chemistry,1/2,254,Individual,Paul Berg,1926-06-30,United States of America,Male,United States of America,no,
1980,Chemistry,1/4,255,Individual,Walter Gilbert,1932-03-21,United States of America,Male,United States of America,no,
1980,Medicine,1/3,419,Individual,Baruj Benacerraf,1920-10-29,Venezuela,Male,United States of America,no,
1980,Medicine,1/3,420,Individual,Jean Dausset,1916-10-19,France,Male,France,no,
1980,Medicine,1/3,421,Individual,George D. Snell,1903-12-19,United States of America,Male,United States of America,no,
1980,Physics,1/2,116,Individual,James Watson Cronin,1931-09-29,United States of America,Male,United States of America,no,
1980,Physics,1/2,117,Individual,Val Logsdon Fitch,1923-03-10,United States of America,Male,United States of America,no,
1981,Chemistry,1/2,257,Individual,Kenichi Fukui,1918-10-04,Japan,Male,Japan,no,
1981,Chemistry,1/2,258,Individual,Roald Hoffmann,1937-07-18,Poland (Ukraine),Male,United States of America,no,
1981,Medicine,1/2,422,Individual,Roger W. Sperry,1913-08-20,United States of America,Male,United States of America,no,
1981,Medicine,1/4,423,Individual,David H. Hubel,1926-02-27,Canada,Male,United States of America,no,
1981,Medicine,1/4,424,Individual,Torsten N. Wiesel,1924-06-03,Sweden,Male,United States of America,no,
1981,Physics,1/4,118,Individual,Nicolaas Bloembergen,1920-03-11,Netherlands,Male,United States of America,no,
1981,Physics,1/4,119,Individual,Arthur Leonard Schawlow,1921-05-05,United States of America,Male,United States of America,no,
1981,Physics,1/2,120,Individual,Kai M. Siegbahn,1918-04-20,Sweden,Male,Sweden,no,
1982,Chemistry,1/1,259,Individual,Aaron Klug,1926-08-11,Lithuania,Male,United Kingdom,no,
1982,Medicine,1/3,425,Individual,Sune K. Bergström,1916-01-10,Sweden,Male,Sweden,no,
1982,Medicine,1/3,426,Individual,Bengt I. Samuelsson,1934-05-21,Sweden,Male,Sweden,no,
1982,Medicine,1/3,427,Individual,John R. Vane,1927-03-29,United Kingdom,Male,United Kingdom,no,
1982,Physics,1/1,121,Individual,Kenneth G. Wilson,1936-06-08,United States of America,Male,United States of America,no,
1983,Chemistry,1/1,260,Individual,Henry Taube,1915-11-30,Canada,Male,United States of America,no,
1983,Medicine,1/1,428,Individual,Barbara McClintock,1902-06-16,United States of America,Female,United States of America,no,
1983,Physics,1/2,122,Individual,Subramanyan Chandrasekhar,1910-10-19,India (Pakistan),Male,United States of America,no,
1983,Physics,1/2,123,Individual,William Alfred Fowler,1911-08-09,United States of America,Male,United States of America,no,
1984,Chemistry,1/1,261,Individual,Robert Bruce Merrifield,1921-07-15,United States of America,Male,United States of America,no,
1984,Medicine,1/3,429,Individual,Niels K. Jerne,1911-12-23,United Kingdom,Male,Switzerland,no,
1984,Medicine,1/3,430,Individual,Georges J.F. Köhler,1946-04-17,Germany,Male,Switzerland,no,
1984,Medicine,1/3,431,Individual,César Milstein,1927-10-08,Argentina,Male,United Kingdom,no,
1984,Physics,1/2,124,Individual,Carlo Rubbia,1934-03-31,Italy,Male,Switzerland,no,
1984,Physics,1/2,125,Individual,Simon van der Meer,1925-11-24,Netherlands,Male,Switzerland,no,
1985,Chemistry,1/2,262,Individual,Herbert A. Hauptman,1917-02-14,United States of America,Male,United States of America,no,
1985,Chemistry,1/2,263,Individual,Jerome Karle,1918-06-18,United States of America,Male,United States of America,no,
1985,Medicine,1/2,432,Individual,Michael S. Brown,1941-04-13,United States of America,Male,United States of America,no,
1985,Medicine,1/2,433,Individual,Joseph L. Goldstein,1940-04-18,United States of America,Male,United States of America,no,
1985,Physics,1/1,126,Individual,Klaus von Klitzing,1943-06-28,German-occupied Poland (Poland),Male,Federal Republic of Germany,no,
1986,Chemistry,1/3,264,Individual,Dudley R. Herschbach,1932-06-18,United States of America,Male,United States of America,no,
1986,Chemistry,1/3,265,Individual,Yuan T. Lee,1936-11-19,Taiwan,Male,United States of America,no,
1986,Chemistry,1/3,266,Individual,John C. Polanyi,1929-01-23,Germany,Male,Canada,no,
1986,Medicine,1/2,434,Individual,Stanley Cohen,1922-11-17,United States of America,Male,United States of America,no,
1986,Medicine,1/2,435,Individual,Rita Levi-Montalcini,1909-04-22,Italy,Female,Italy,no,
1986,Physics,1/2,127,Individual,Ernst Ruska,1906-12-25,Germany,Male,Federal Republic of Germany,no,
1986,Physics,1/4,128,Individual,Gerd Binnig,1947-07-20,West Germany (Germany),Male,Switzerland,no,
1986,Physics,1/4,129,Individual,Heinrich Rohrer,1933-06-06,Switzerland,Male,Switzerland,no,
1987,Chemistry,1/3,267,Individual,Donald J. Cram,1919-04-22,United States of America,Male,United States of America,no,
1987,Chemistry,1/3,268,Individual,Jean-Marie Lehn,1939-09-30,France,Male,France,no,
1987,Chemistry,1/3,268,Individual,Jean-Marie Lehn,1939-09-30,France,Male,France,no,
1987,Chemistry,1/3,269,Individual,Charles J. Pedersen,1904-10-03,Korea (South Korea),Male,United States of America,no,
1987,Medicine,1/1,436,Individual,Susumu Tonegawa,1939-09-06,Japan,Male,United States of America,no,
1987,Physics,1/2,130,Individual,J. Georg Bednorz,1950-05-16,West Germany (Germany),Male,Switzerland,no,
1987,Physics,1/2,131,Individual,K. Alexander Müller,1927-04-20,Switzerland,Male,Switzerland,no,
1988,Chemistry,1/3,270,Individual,Johann Deisenhofer,1943-09-30,Germany,Male,United States of America,no,
1988,Chemistry,1/3,270,Individual,Johann Deisenhofer,1943-09-30,Germany,Male,,no,
1988,Chemistry,1/3,271,Individual,Robert Huber,1937-02-20,Germany,Male,Federal Republic of Germany,no,
1988,Chemistry,1/3,272,Individual,Hartmut Michel,1948-07-18,West Germany (Germany),Male,Federal Republic of Germany,no,
1988,Medicine,1/3,437,Individual,Sir James W. Black,1924-06-14,Scotland,Male,United Kingdom,no,
1988,Medicine,1/3,438,Individual,Gertrude B. Elion,1918-01-23,United States of America,Female,United States of America,no,
1988,Medicine,1/3,439,Individual,George H. Hitchings,1905-04-18,United States of America,Male,United States of America,no,
1988,Physics,1/3,132,Individual,Leon M. Lederman,1922-07-15,United States of America,Male,United States of America,no,
1988,Physics,1/3,133,Individual,Melvin Schwartz,1932-11-02,United States of America,Male,United States of America,no,
1988,Physics,1/3,134,Individual,Jack Steinberger,1921-05-25,Germany,Male,Switzerland,no,
1989,Chemistry,1/2,273,Individual,Sidney Altman,1939-05-07,Canada,Male,United States of America,no,
1989,Chemistry,1/2,274,Individual,Thomas R. Cech,1947-12-08,United States of America,Male,United States of America,no,
1989,Medicine,1/2,440,Individual,J. Michael Bishop,1936-02-22,United States of America,Male,United States of America,no,
1989,Medicine,1/2,441,Individual,Harold E. Varmus,1939-12-18,United States of America,Male,United States of America,no,
1989,Physics,1/2,135,Individual,Norman F. Ramsey,1915-08-27,United States of America,Male,United States of America,no,
1989,Physics,1/4,136,Individual,Hans G. Dehmelt,1922-09-09,Prussia (Germany),Male,United States of America,no,
1989,Physics,1/4,137,Individual,Wolfgang Paul,1913-08-10,Germany,Male,Federal Republic of Germany,no,
1990,Chemistry,1/1,275,Individual,Elias James Corey,1928-07-12,United States of America,Male,United States of America,no,
1990,Medicine,1/2,442,Individual,Joseph E. Murray,1919-04-01,United States of America,Male,United States of America,no,
1990,Medicine,1/2,443,Individual,E. Donnall Thomas,1920-03-15,United States of America,Male,United States of America,no,
1990,Physics,1/3,138,Individual,Jerome I. Friedman,1930-03-28,United States of America,Male,United States of America,no,
1990,Physics,1/3,139,Individual,Henry W. Kendall,1926-12-09,United States of America,Male,United States of America,no,
1990,Physics,1/3,140,Individual,Richard E. Taylor,1929-11-02,Canada,Male,United States of America,no,
1991,Chemistry,1/1,276,Individual,Richard R. Ernst,1933-08-14,Switzerland,Male,Switzerland,no,
1991,Medicine,1/2,444,Individual,Erwin Neher,1944-03-20,Germany,Male,Federal Republic of Germany,no,
1991,Medicine,1/2,445,Individual,Bert Sakmann,1942-06-12,Germany,Male,Federal Republic of Germany,no,
1991,Physics,1/1,141,Individual,Pierre-Gilles de Gennes,1932-10-24,France,Male,France,no,
1992,Chemistry,1/1,277,Individual,Rudolph A. Marcus,1923-07-21,Canada,Male,United States of America,no,
1992,Medicine,1/2,446,Individual,Edmond H. Fischer,1920-04-06,China,Male,United States of America,no,
1992,Medicine,1/2,447,Individual,Edwin G. Krebs,1918-06-06,United States of America,Male,United States of America,no,
1992,Physics,1/1,142,Individual,Georges Charpak,1924-08-01,Poland,Male,France,no,
1992,Physics,1/1,142,Individual,Georges Charpak,1924-08-01,Poland,Male,Switzerland,no,
1993,Chemistry,1/2,278,Individual,Kary B. Mullis,1944-12-28,United States of America,Male,United States of America,yes,"AIDS denial, alien abduction, Aliensdidit, astrology, astral projection, conspiracy theories, cosmic raccoons, global warming denial, ozone denial"
1993,Chemistry,1/2,279,Individual,Michael Smith,1932-04-26,United Kingdom,Male,Canada,no,
1993,Medicine,1/2,448,Individual,Richard J. Roberts,1943-09-06,United Kingdom,Male,United States of America,no,
1993,Medicine,1/2,449,Individual,Phillip A. Sharp,1944-06-06,United States of America,Male,United States of America,no,
1993,Physics,1/2,143,Individual,Russell A. Hulse,1950-11-28,United States of America,Male,United States of America,no,
1993,Physics,1/2,144,Individual,Joseph H. Taylor Jr.,1941-03-29,United States of America,Male,United States of America,no,
1994,Chemistry,1/1,280,Individual,George A. Olah,1927-05-22,Hungary,Male,United States of America,no,
1994,Medicine,1/2,450,Individual,Alfred G. Gilman,1941-07-01,United States of America,Male,United States of America,no,
1994,Medicine,1/2,451,Individual,Martin Rodbell,1925-12-01,United States of America,Male,United States of America,no,
1994,Physics,1/2,145,Individual,Bertram N. Brockhouse,1918-07-15,Canada,Male,Canada,no,
1994,Physics,1/2,146,Individual,Clifford G. Shull,1915-09-23,United States of America,Male,United States of America,no,
1995,Chemistry,1/3,281,Individual,Paul J. Crutzen,1933-12-03,Netherlands,Male,Federal Republic of Germany,no,
1995,Chemistry,1/3,282,Individual,Mario J. Molina,1943-03-19,Mexico,Male,United States of America,no,
1995,Chemistry,1/3,283,Individual,F. Sherwood Rowland,1927-06-28,United States of America,Male,United States of America,no,
1995,Medicine,1/3,452,Individual,Edward B. Lewis,1918-05-20,United States of America,Male,United States of America,no,
1995,Medicine,1/3,453,Individual,Christiane Nüsslein-Volhard,1942-10-20,Germany,Female,Federal Republic of Germany,no,
1995,Medicine,1/3,454,Individual,Eric F. Wieschaus,1947-06-08,United States of America,Male,United States of America,no,
1995,Physics,1/2,147,Individual,Martin L. Perl,1927-06-24,United States of America,Male,United States of America,no,
1995,Physics,1/2,148,Individual,Frederick Reines,1918-03-16,United States of America,Male,United States of America,no,
1996,Chemistry,1/3,284,Individual,Robert F. Curl Jr.,1933-08-23,United States of America,Male,United States of America,no,
1996,Chemistry,1/3,285,Individual,Sir Harold W. Kroto,1939-10-07,United Kingdom,Male,United Kingdom,no,
1996,Chemistry,1/3,286,Individual,Richard E. Smalley,1943-06-06,United States of America,Male,United States of America,yes,"Creationism, Intelligent Design and evolution denial"
1996,Medicine,1/2,455,Individual,Peter C. Doherty,1940-10-15,Australia,Male,United States of America,no,
1996,Medicine,1/2,456,Individual,Rolf M. Zinkernagel,1944-01-06,Switzerland,Male,Switzerland,no,
1996,Physics,1/3,149,Individual,David M. Lee,1931-01-20,United States of America,Male,United States of America,no,
1996,Physics,1/3,150,Individual,Douglas D. Osheroff,1945-08-01,United States of America,Male,United States of America,no,
1996,Physics,1/3,151,Individual,Robert C. Richardson,1937-06-26,United States of America,Male,United States of America,no,
1997,Chemistry,1/4,287,Individual,Paul D. Boyer,1918-07-31,United States of America,Male,United States of America,no,
1997,Chemistry,1/4,288,Individual,John E. Walker,1941-01-07,United Kingdom,Male,United Kingdom,no,
1997,Chemistry,1/2,289,Individual,Jens C. Skou,1918-10-08,Denmark,Male,Denmark,no,
1997,Medicine,1/1,457,Individual,Stanley B. Prusiner,1942-05-28,United States of America,Male,United States of America,no,
1997,Physics,1/3,152,Individual,Steven Chu,1948-02-28,United States of America,Male,United States of America,no,
1997,Physics,1/3,153,Individual,Claude Cohen-Tannoudji,1933-04-01,French Algeria (Algeria),Male,France,no,
1997,Physics,1/3,153,Individual,Claude Cohen-Tannoudji,1933-04-01,French Algeria (Algeria),Male,France,no,
1997,Physics,1/3,154,Individual,William D. Phillips,1948-11-05,United States of America,Male,United States of America,no,
1998,Chemistry,1/2,290,Individual,Walter Kohn,1923-03-09,Austria,Male,United States of America,no,
1998,Chemistry,1/2,291,Individual,John A. Pople,1925-10-31,United Kingdom,Male,United States of America,no,
1998,Medicine,1/3,458,Individual,Robert F. Furchgott,1916-06-04,United States of America,Male,United States of America,no,
1998,Medicine,1/3,459,Individual,Louis J. Ignarro,1941-05-31,United States of America,Male,United States of America,yes,herbalife
1998,Medicine,1/3,460,Individual,Ferid Murad,1936-09-14,United States of America,Male,United States of America,no,
1998,Physics,1/3,155,Individual,Robert B. Laughlin,1950-11-01,United States of America,Male,United States of America,no,
1998,Physics,1/3,156,Individual,Horst L. Störmer,1949-04-06,West Germany (Germany),Male,United States of America,no,
1998,Physics,1/3,157,Individual,Daniel C. Tsui,1939-02-28,China,Male,United States of America,no,
1999,Chemistry,1/1,292,Individual,Ahmed H. Zewail,1946-02-26,Egypt,Male,United States of America,no,
1999,Medicine,1/1,461,Individual,Günter Blobel,1936-05-21,Germany (Poland),Male,United States of America,no,
1999,Medicine,1/1,461,Individual,Günter Blobel,1936-05-21,Germany (Poland),Male,,no,
1999,Physics,1/2,158,Individual,Gerardus 't Hooft,1946-07-05,Netherlands,Male,Netherlands,no,
1999,Physics,1/2,159,Individual,Martinus J.G. Veltman,1931-06-27,Netherlands,Male,Netherlands,no,
2000,Chemistry,1/3,729,Individual,Alan J. Heeger,1936-01-22,United States of America,Male,United States of America,no,
2000,Chemistry,1/3,730,Individual,Alan G. MacDiarmid,1927-04-14,New Zealand,Male,United States of America,no,
2000,Chemistry,1/3,731,Individual,Hideki Shirakawa,1936-08-20,Japan,Male,Japan,no,
2000,Medicine,1/3,722,Individual,Arvid Carlsson,1923-01-25,Sweden,Male,Sweden,no,
2000,Medicine,1/3,723,Individual,Paul Greengard,1925-12-11,United States of America,Male,United States of America,no,
2000,Medicine,1/3,724,Individual,Eric R. Kandel,1929-11-07,Austria,Male,United States of America,no,
2000,Physics,1/4,726,Individual,Zhores I. Alferov,1930-03-15,Union of Soviet Socialist Republics (Belarus),Male,Russia,no,
2000,Physics,1/4,727,Individual,Herbert Kroemer,1928-08-25,Germany,Male,United States of America,no,
2000,Physics,1/2,728,Individual,Jack S. Kilby,1923-11-08,United States of America,Male,United States of America,no,
2001,Chemistry,1/4,741,Individual,William S. Knowles,1917-06-01,United States of America,Male,United States of America,no,
2001,Chemistry,1/4,742,Individual,Ryoji Noyori,1938-09-03,Japan,Male,Japan,no,
2001,Chemistry,1/2,743,Individual,K. Barry Sharpless,1941-04-28,United States of America,Male,United States of America,no,
2001,Medicine,1/3,735,Individual,Leland H. Hartwell,1939-10-30,United States of America,Male,United States of America,no,
2001,Medicine,1/3,736,Individual,Tim Hunt,1943-02-19,United Kingdom,Male,United Kingdom,no,
2001,Medicine,1/3,737,Individual,Sir Paul M. Nurse,1949-01-25,United Kingdom,Male,United Kingdom,no,
2001,Physics,1/3,738,Individual,Eric A. Cornell,1961-12-19,United States of America,Male,United States of America,no,
2001,Physics,1/3,739,Individual,Wolfgang Ketterle,1957-10-21,West Germany (Germany),Male,United States of America,no,
2001,Physics,1/3,740,Individual,Carl E. Wieman,1951-03-26,United States of America,Male,United States of America,no,
2002,Chemistry,1/4,756,Individual,John B. Fenn,1917-06-15,United States of America,Male,United States of America,no,
2002,Chemistry,1/4,757,Individual,Koichi Tanaka,1959-08-03,Japan,Male,Japan,no,
2002,Chemistry,1/2,758,Individual,Kurt Wüthrich,1938-10-04,Switzerland,Male,Switzerland,no,
2002,Chemistry,1/2,758,Individual,Kurt Wüthrich,1938-10-04,Switzerland,Male,United States of America,no,
2002,Medicine,1/3,750,Individual,Sydney Brenner,1927-01-13,South Africa,Male,United States of America,no,
2002,Medicine,1/3,751,Individual,H. Robert Horvitz,1947-05-08,United States of America,Male,United States of America,no,
2002,Medicine,1/3,752,Individual,John E. Sulston,1942-03-27,United Kingdom,Male,United Kingdom,no,
2002,Physics,1/4,753,Individual,Raymond Davis Jr.,1914-10-14,United States of America,Male,United States of America,no,
